날짜,고객사 ID,고객사명,고객사 그룹,제휴점 ID,제휴점명,제휴점 그룹,제휴점 유형,정산단위,수수료율,혼자결제,함께결제,정상거래,취소거래,관리자입력,거래 통계 합계,주문 수,고유 사용자 수,판매가격,식대/복지 포인트,포인트 단위,대장포인트,대장쿠폰,간편결제,포인트 사용 합계,고객사 청구 금액,제휴점 정산 금액,제휴점 수수료 금액,거래액,배송비,고객사 시/도,고객사 시/군/구,고객사 동/면,제휴점 시/도,제휴점 시/군/구,제휴점 동/면
2020-01-01,5D755116-53CF-4EC5-B97E-EF2B8C874095,크몽(x),미설정(기본그룹),,,,방문/전화배달 제휴식당,,,7,83,90,0,0,90,34,37,835400,835400,원,0,0,0,835400,835400,820786,14614,835400,0,서울특별시,서초구,서초동,,,
2020-01-01,629F93A8-7915-B9C4-FB75-F1508A46B742,한미글로벌,한미글로벌,,,,POS(KFC),,,67,15,82,0,0,82,74,51,903800,903800,원,0,0,0,903800,903800,873940,29860,903800,0,서울특별시,강남구,삼성동,,,
2020-01-01,7F4CC785-7F3F-4EFE-BB2A-3B59C89BE0DC,마이리얼트립,미설정(기본그룹),,,,POS(KFC),,,23,0,23,0,0,23,23,14,155400,155400,원,0,0,0,155400,155400,150262,5138,155400,0,서울특별시,서초구,서초동,,,
2020-01-01,42AE412D-E4B8-4D54-8FA1-FF6967A63C97,심플프로젝트컴퍼니,미설정(기본그룹),,,,방문 제휴식당,,,172,618,790,0,0,790,382,77,11374990,11374990,원,0,0,0,11374990,11374990,11138071,236919,11374990,0,서울특별시,종로구,사직동,,,
2020-01-01,9D3E8957-786D-0936-A0B6-B73CBF187B67,에어서울,해지,,,,방문/전화배달 제휴식당,,,110,67,177,0,0,177,140,84,1370000,274,장,0,0,0,274,1370000,1370000,0,1370000,0,서울특별시,강서구,방화동,,,
2020-01-01,0FF653B5-DC6D-9472-E86D-B238DD8F7F22,한솔로지스틱스,한솔,,,,방문 제휴식당,,,1744,1775,3512,6,1,3519,2294,171,26193446,26193446,원,0,0,0,26193446,26193446,25674557,518889,26193446,0,서울특별시,중구,을지로2가,,,
2020-01-01,812A7EEB-8960-4FCE-BE74-4EBACE70A49A,코오롱인더스트리 대산공장,코오롱,,,,방문 제휴식당,,,49,5,54,0,0,54,51,20,857000,857000,원,0,0,0,857000,857000,857000,0,857000,0,충청남도,서산시,대산읍,,,
2020-01-01,7F4CC785-7F3F-4EFE-BB2A-3B59C89BE0DC,마이리얼트립,미설정(기본그룹),,,,방문 제휴식당,,,1418,426,1839,4,1,1844,1557,142,20024980,20024980,원,0,0,0,20024980,20024980,19485282,539698,20024980,0,서울특별시,서초구,서초동,,,
2020-01-01,5D318C1F-5A45-BF8E-7473-CE170A9DA927,알디엠체인,미설정(기본그룹),,,,방문/전화배달 제휴식당,,,19,25,44,0,0,44,29,22,327000,327000,원,0,0,0,327000,327000,317190,9810,327000,0,서울특별시,강남구,역삼동,,,
2020-01-01,9D3E8957-786D-0936-A0B6-B73CBF187B67,에어서울,해지,,,,방문 제휴식당,,,3292,441,3727,4,2,3733,3453,420,32309000,6659,장,0,0,0,6659,32309000,32309000,0,32309000,0,서울특별시,강서구,방화동,,,
